City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Jamestown,US,2021-08-07 22:17:57,42.097,-79.2353,78.39,69,1,3.44
88,Nikolskoye,RU,2021-08-07 22:17:57,59.7035,30.7861,65.01,98,98,6.17
89,Hamilton,US,2021-08-07 22:16:24,39.1834,-84.5333,88.95,53,1,1.01
90,Yumen,CN,2021-08-07 22:17:58,40.2833,97.2,67.42,35,8,4.83
91,Tuatapere,NZ,2021-08-07 22:17:58,-46.1333,167.6833,37.81,95,100,1.79
92,Talnakh,RU,2021-08-07 22:17:58,69.4865,88.3972,55.42,61,31,2.28
93,Mercedes,AR,2021-08-07 22:17:59,-34.6515,-59.4307,73.02,62,5,4.27
94,Kushiro,JP,2021-08-07 22:17:59,42.975,144.3747,72.55,100,75,4.61
95,Albany,US,2021-08-07 22:13:56,42.6001,-73.9662,83.14,79,99,2.17
96,Punta Arenas,CL,2021-08-07 22:18:00,-53.15,-70.9167,35.71,80,0,26.46
97,Huarmey,PE,2021-08-07 22:18:00,-10.0681,-78.1522,66.79,75,5,13.49
98,Esperance,AU,2021-08-07 22:18:00,-33.8667,121.9,53.44,70,100,1.48
99,Avarua,CK,2021-08-07 22:18:01,-21.2078,-159.775,78.85,65,20,6.91
100,New Norfolk,AU,2021-08-07 22:18:01,-42.7826,147.0587,35.92,87,99,2.75
101,Yar-Sale,RU,2021-08-07 22:18:01,66.8333,70.8333,55.76,85,17,12.03
102,Chuy,UY,2021-08-07 22:18:02,-33.6971,-53.4616,62.89,83,7,6.08
103,Evensk,RU,2021-08-07 22:18:02,61.95,159.2333,60.98,58,4,13.4
104,Ilhabela,BR,2021-08-07 22:18:02,-23.7781,-45.3581,66.61,89,100,10.38
105,Mount Isa,AU,2021-08-07 22:18:03,-20.7333,139.5,53.37,40,0,1.14
106,Yellowknife,CA,2021-08-07 22:18:03,62.456,-114.3525,59.52,72,90,23.02
107,Beihai,CN,2021-08-07 22:18:03,21.4833,109.1,84.6,86,100,5.19
108,Guaranda,EC,2021-08-07 22:18:04,-1.6,-79.0,57.31,93,62,5.46
109,Sao Jose Da Coroa Grande,BR,2021-08-07 22:18:04,-8.8978,-35.1478,74.48,73,65,16.62
110,Kokopo,PG,2021-08-07 22:18:04,-4.352,152.2633,77.7,85,97,7.83
111,Kodiak,US,2021-08-07 22:18:05,57.79,-152.4072,54.91,76,90,11.5
112,Eureka,US,2021-08-07 22:18:05,40.8021,-124.1637,75.13,73,53,8.01
113,Namatanai,PG,2021-08-07 22:13:09,-3.6667,152.4333,79.95,79,55,6.26
114,Campbell River,CA,2021-08-07 22:17:31,50.0163,-125.2446,69.33,89,75,10.36
115,Gualaceo,EC,2021-08-07 22:18:05,-2.9,-78.7833,71.26,74,88,5.21
116,Pisco,PE,2021-08-07 22:18:06,-13.7,-76.2167,64.45,72,20,17.27
117,Aklavik,CA,2021-08-07 22:18:06,68.2191,-135.0107,51.8,66,75,9.22
118,Sur,OM,2021-08-07 22:18:07,22.5667,59.5289,89.64,53,94,11.65
119,Port Blair,IN,2021-08-07 22:18:07,11.6667,92.75,81.93,83,100,14.09
120,Mahebourg,MU,2021-08-07 22:18:07,-20.4081,57.7,68.29,88,75,3.44
121,Miles City,US,2021-08-07 22:14:09,46.4083,-105.8406,93.51,22,1,10.36
122,Hofn,IS,2021-08-07 22:18:08,64.2539,-15.2082,56.88,81,100,10.51
123,Bambous Virieux,MU,2021-08-07 22:18:08,-20.3428,57.7575,68.25,88,75,3.44
124,Hermanus,ZA,2021-08-07 22:18:08,-34.4187,19.2345,49.8,74,96,2.44
125,Vitim,RU,2021-08-07 22:18:09,59.4511,112.5578,56.14,98,100,2.66
126,Lompoc,US,2021-08-07 22:18:09,34.6391,-120.4579,82.56,67,1,13.8
127,Ahipara,NZ,2021-08-07 22:18:09,-35.1667,173.1667,57.2,83,99,13.09
128,Tautira,PF,2021-08-07 22:18:10,-17.7333,-149.15,84.22,76,62,9.06
