City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Kahului,US,20.8947,-156.47,79.86,79,40,19.57,scattered clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,5.75,overcast clouds
112,Fairbanks,US,64.8378,-147.7164,62.56,79,75,3.44,broken clouds
113,Tual,ID,-5.6667,132.75,79.52,82,97,14.79,overcast clouds
114,Ligayan,PH,4.6533,119.4706,83.55,71,94,6.04,overcast clouds
115,Nanortalik,GL,60.1432,-45.2371,44.71,72,1,5.37,clear sky
116,College,US,64.8569,-147.8028,62.55,83,75,0.0,broken clouds
117,Niamey,NE,13.5137,2.1098,80.89,83,0,4.61,clear sky
118,Naberera,TZ,-4.2,36.9333,57.65,83,88,6.91,overcast clouds
119,Katsuura,JP,35.1333,140.3,93.31,70,0,29.55,clear sky
120,Sibiti,CG,-3.6819,13.3499,64.72,89,39,3.38,scattered clouds
121,Zhicheng,CN,30.2956,111.5047,86.27,68,100,4.79,overcast clouds
122,Kontagora,NG,10.3999,5.4695,69.82,98,96,3.09,light rain
123,Oranienburg,DE,52.75,13.2333,60.22,99,77,4.5,broken clouds
124,Namatanai,PG,-3.6667,152.4333,83.17,72,29,9.4,light rain
125,Coquimbo,CL,-29.9533,-71.3436,49.73,87,0,9.22,clear sky
126,Barrow,US,71.2906,-156.7887,37.42,87,90,6.91,mist
127,Awbari,LY,26.5921,12.7805,81.0,25,0,10.56,clear sky
128,Lahijan,IR,37.2061,50.0029,85.69,44,13,5.35,few clouds
129,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.97,81,59,9.71,broken clouds
130,Ca Mau,VN,9.1769,105.15,93.97,49,63,11.97,broken clouds
131,Cidreira,BR,-30.1811,-50.2056,62.58,90,96,4.38,overcast clouds
132,Sompeta,IN,18.9333,84.6,90.95,62,100,9.31,overcast clouds
133,Cockburn Town,TC,21.4612,-71.1419,82.54,76,100,19.28,overcast clouds
134,Port Hardy,CA,50.6996,-127.4199,60.98,82,90,0.0,overcast clouds
135,Guerrero Negro,MX,27.9769,-114.0611,70.99,80,0,13.31,clear sky
136,Clyde River,CA,70.4692,-68.5914,35.83,100,90,12.66,mist
137,Cayenne,GF,4.9333,-52.3333,80.1,86,0,0.0,clear sky
138,Medea,DZ,36.2642,2.7539,66.65,15,63,8.28,broken clouds
139,Hobyo,SO,5.3505,48.5268,78.91,72,50,21.94,scattered clouds
140,Te Anau,NZ,-45.4167,167.7167,44.11,95,100,3.11,overcast clouds
141,Saint-Paul,RE,-21.0096,55.2707,73.74,76,1,4.27,clear sky
142,Tasiilaq,GL,65.6145,-37.6368,48.36,93,100,3.51,light rain
143,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,16.11,scattered clouds
144,Ribeira Grande,PT,38.5167,-28.7,71.53,84,0,3.56,clear sky
145,Khatanga,RU,71.9667,102.5,71.49,39,98,6.08,overcast clouds
146,Begun,IN,24.9833,75.0,84.56,68,99,12.33,overcast clouds
147,Chernyshevskiy,RU,63.0128,112.4714,74.12,38,19,8.34,few clouds
148,Kodiak,US,57.79,-152.4072,51.91,96,100,8.55,overcast clouds
149,Tinsukia,IN,27.5,95.3667,85.86,84,94,1.41,overcast clouds
150,Camacha,PT,33.0833,-16.3333,66.96,94,20,6.91,few clouds
151,Zhezkazgan,KZ,47.8043,67.7144,77.4,42,37,10.45,scattered clouds
152,Isangel,VU,-19.55,169.2667,73.51,60,75,6.91,broken clouds
153,Tuatapere,NZ,-46.1333,167.6833,50.83,93,99,9.82,overcast clouds
154,Kaoma,ZM,-14.7833,24.8,53.78,38,0,5.68,clear sky
155,Flinders,AU,-34.5833,150.8552,76.05,50,42,5.99,scattered clouds
156,Saskylakh,RU,71.9167,114.0833,71.74,63,99,6.17,light rain
157,Sovetskiy,RU,61.3614,63.5842,59.68,61,100,11.56,overcast clouds
158,Bonoua,CI,5.2741,-3.595,76.62,92,69,4.29,broken clouds
159,Bandarbeyla,SO,9.4942,50.8122,79.79,68,68,26.69,broken clouds
160,Changli,CN,39.7042,119.1506,81.72,69,2,5.5,clear sky
161,Kavieng,PG,-2.5744,150.7967,84.61,66,22,7.92,light rain
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.58,87,9,11.74,clear sky
163,Nivala,FI,63.9167,24.9667,57.69,87,83,5.08,broken clouds
164,Havoysund,NO,70.9963,24.6622,61.68,76,50,10.18,scattered clouds
165,Bilibino,RU,68.0546,166.4372,66.96,42,94,13.98,overcast clouds
166,Luganville,VU,-15.5333,167.1667,74.79,80,100,17.54,overcast clouds
167,Narsaq,GL,60.9167,-46.05,44.82,58,4,4.21,clear sky
168,Kerema,PG,-7.9631,145.7785,79.84,84,76,6.8,broken clouds
169,Victoria,HK,22.2855,114.1577,88.32,82,99,1.01,overcast clouds
170,Provideniya,RU,64.3833,-173.3,50.11,62,90,8.95,overcast clouds
171,Kaitangata,NZ,-46.2817,169.8464,47.75,92,86,11.81,overcast clouds
172,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,29,0,12.66,clear sky
173,Riachao Das Neves,BR,-11.7461,-44.91,65.1,67,2,2.21,clear sky
174,Staryy Nadym,RU,65.6118,72.6842,60.06,55,100,17.34,overcast clouds
175,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,30,2.73,scattered clouds
176,Hithadhoo,MV,-0.6,73.0833,81.36,70,58,0.74,broken clouds
177,Bermejo,AR,-32.8833,-68.8,39.11,60,0,0.0,clear sky
178,Urucara,BR,-2.5364,-57.76,75.54,70,23,3.02,few clouds
179,Little Current,CA,45.9793,-81.9248,72.41,96,99,7.07,moderate rain
180,Ucluelet,CA,48.9329,-125.5528,67.05,94,73,6.26,broken clouds
181,Faya,SA,18.3851,42.4509,70.32,29,44,7.47,scattered clouds
182,Ponte De Sor,PT,39.2496,-8.0101,59.97,86,0,3.38,clear sky
183,Okhotsk,RU,59.3833,143.3,63.59,59,17,11.21,few clouds
184,Magalia,US,39.8121,-121.5783,80.15,32,0,6.51,clear sky
185,Buraydah,SA,26.326,43.975,82.85,10,0,6.6,clear sky
186,Iguape,BR,-24.7081,-47.5553,63.34,81,39,5.61,scattered clouds
187,Broome,US,42.2506,-75.833,73.98,93,1,3.0,clear sky
188,Mar Del Plata,AR,-38.0023,-57.5575,39.22,87,75,3.44,broken clouds
189,Galdar,ES,28.147,-15.6502,68.5,76,22,13.27,few clouds
190,Keetmanshoop,NA,-26.5833,18.1333,43.72,65,0,8.05,clear sky
191,La Ronge,CA,55.1001,-105.2842,64.62,72,20,9.22,few clouds
192,Mweka,CD,-4.85,21.5667,67.57,76,0,0.94,clear sky
193,Aldama,MX,22.9167,-98.0667,81.63,91,6,3.27,clear sky
194,Progreso,MX,21.2833,-89.6667,81.05,78,3,11.56,clear sky
195,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,0,5.75,clear sky
196,Den Helder,NL,52.9599,4.7593,62.58,89,75,11.5,broken clouds
197,Carutapera,BR,-1.195,-46.02,75.22,93,3,4.72,clear sky
198,Bahia Honda,CU,22.9036,-83.1592,78.84,87,20,8.72,few clouds
199,Westport,US,41.1415,-73.3579,72.05,97,1,1.01,mist
200,Mosquera,CO,4.7059,-74.2302,57.29,82,75,3.44,broken clouds
201,Puerto Ayora,EC,-0.7393,-90.3518,69.51,80,43,7.58,scattered clouds
202,Ilulissat,GL,69.2167,-51.1,48.22,40,100,20.71,overcast clouds
203,Avenal,US,36.0041,-120.129,83.97,32,0,9.13,clear sky
204,Souillac,MU,-20.5167,57.5167,75.36,94,40,3.44,scattered clouds
205,Bengkulu,ID,-3.8004,102.2655,83.62,69,84,5.73,broken clouds
206,Airai,TL,-8.9266,125.4092,69.08,64,73,3.09,broken clouds
207,Katobu,ID,-4.9408,122.5276,85.93,60,38,6.46,scattered clouds
208,Killybegs,IE,54.6333,-8.45,56.17,89,38,3.4,scattered clouds
209,Qaanaaq,GL,77.484,-69.3632,38.91,71,91,8.39,overcast clouds
210,Hirado,JP,33.3597,129.5531,85.35,76,63,11.95,broken clouds
211,Paka,MY,4.6374,103.4368,87.73,79,40,6.91,scattered clouds
212,Klaksvik,FO,62.2266,-6.589,49.12,96,98,9.66,overcast clouds
213,Burley,US,42.5357,-113.7928,69.24,48,1,0.0,clear sky
214,Trairi,BR,-3.2778,-39.2689,79.11,75,5,13.69,clear sky
215,Otane,NZ,-39.8833,176.6333,55.0,69,5,4.65,clear sky
216,Yar-Sale,RU,66.8333,70.8333,60.28,57,13,15.26,few clouds
217,Poum,NC,-20.2333,164.0167,70.21,61,87,14.67,overcast clouds
218,Yeppoon,AU,-23.1333,150.7333,67.78,76,53,20.47,broken clouds
219,Ust-Kuyga,RU,70.0167,135.6,79.39,31,77,5.23,broken clouds
220,Hamilton,US,39.1834,-84.5333,73.99,91,1,1.01,clear sky
221,Ancud,CL,-41.8697,-73.8203,44.42,85,50,4.76,scattered clouds
222,Bethel,US,41.3712,-73.414,70.65,92,1,0.0,clear sky
223,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,40,3.44,scattered clouds
224,Inzer,RU,54.2167,57.5556,73.04,50,100,1.57,overcast clouds
225,Bilma,NE,18.6853,12.9164,85.19,51,11,6.98,few clouds
226,Buala,SB,-8.145,159.5921,83.98,68,40,6.49,scattered clouds
227,Norman Wells,CA,65.282,-126.8329,51.84,87,75,9.22,broken clouds
228,Port Blair,IN,11.6667,92.75,85.86,73,96,13.91,overcast clouds
229,Batagay-Alyta,RU,67.8006,130.4114,78.64,21,50,6.11,scattered clouds
230,Doha,QA,25.2867,51.5333,98.58,47,0,2.3,clear sky
231,Monroe,US,43.1501,-77.6831,78.31,85,9,8.21,clear sky
232,Zhaotong,CN,27.3167,103.7167,76.59,58,100,2.19,overcast clouds
233,Kostomuksha,RU,64.571,30.5767,60.19,89,47,8.23,scattered clouds
234,Hailun,CN,47.45,126.9333,65.23,76,90,13.35,overcast clouds
235,Safaga,EG,26.7292,33.9365,84.15,43,0,14.2,clear sky
236,Saquena,PE,-4.6667,-73.5167,72.97,86,38,1.1,scattered clouds
237,Wajir,KE,1.7471,40.0573,73.89,61,64,15.37,broken clouds
238,Lazaro Cardenas,MX,17.9583,-102.2,77.09,86,100,3.87,overcast clouds
239,Visnes,NO,59.3556,5.2242,59.22,94,20,11.5,few clouds
240,Harper,LR,4.375,-7.7169,76.26,82,66,8.46,broken clouds
241,Anadyr,RU,64.75,177.4833,57.7,62,0,6.71,clear sky
242,Puerto Escondido,MX,15.85,-97.0667,80.2,84,100,9.42,overcast clouds
243,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.68,86,15,2.39,few clouds
244,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,1.14,mist
245,Sioux Lookout,CA,50.1001,-91.917,68.38,94,90,2.3,overcast clouds
246,Mount Isa,AU,-20.7333,139.5,83.97,15,1,8.05,clear sky
247,Port Lincoln,AU,-34.7333,135.8667,69.62,40,27,22.03,scattered clouds
248,Mvuma,ZW,-19.2792,30.5283,55.11,37,0,11.54,clear sky
249,Lorengau,PG,-2.0226,147.2712,84.87,67,13,9.01,few clouds
250,Barabai,ID,-2.5833,115.3833,93.79,46,48,1.77,scattered clouds
251,Launceston,AU,-41.45,147.1667,59.61,70,40,8.99,scattered clouds
252,Tura,IN,25.5198,90.2201,83.21,81,100,7.52,overcast clouds
253,Aichach,DE,48.4576,11.1341,55.27,94,75,3.44,broken clouds
254,Beringovskiy,RU,63.05,179.3167,46.15,79,67,4.05,broken clouds
255,Codrington,AU,-38.2667,141.9667,60.4,64,100,20.24,overcast clouds
256,Dingle,PH,10.9995,122.6711,77.94,84,100,2.77,light rain
257,Mujiayingzi,CN,42.1167,118.7833,76.53,52,29,2.46,scattered clouds
258,Komsomolskiy,UZ,40.4272,71.7189,86.72,13,3,13.8,clear sky
259,Kysyl-Syr,RU,63.8986,122.7617,83.37,37,79,8.66,broken clouds
260,Shikohabad,IN,27.1,78.6,91.63,59,96,9.95,overcast clouds
261,Ilhabela,BR,-23.7781,-45.3581,67.91,61,9,4.88,clear sky
262,Paita,PE,-5.0892,-81.1144,64.33,80,65,14.56,broken clouds
263,Leningradskiy,RU,69.3833,178.4167,43.84,71,45,7.29,scattered clouds
264,Bulungu,CD,-4.55,18.6,71.53,61,9,0.89,clear sky
265,Port Hedland,AU,-20.3167,118.5667,78.85,65,27,16.11,scattered clouds
266,Altay,CN,47.8667,88.1167,73.0,42,100,11.52,light rain
267,Macapa,BR,0.0389,-51.0664,78.78,100,75,1.14,broken clouds
268,Mamakan,RU,57.8161,114.0028,67.64,76,99,2.21,overcast clouds
269,Chiredzi,ZW,-21.05,31.6667,63.32,69,48,13.76,light rain
270,Dhidhdhoo,MV,6.8833,73.1,81.79,75,100,15.48,moderate rain
271,Jacareacanga,BR,-6.2222,-57.7528,76.14,48,59,1.63,broken clouds
272,Khor,RU,47.8861,134.9464,67.35,60,67,10.16,broken clouds
273,Virginia Beach,US,36.8529,-75.978,79.02,83,20,6.91,few clouds
274,At-Bashi,KG,41.1702,75.8106,72.43,25,0,4.94,clear sky
275,Araguaina,BR,-7.1911,-48.2072,70.79,43,0,4.79,clear sky
276,Saint George,US,37.1041,-113.5841,92.62,21,1,4.0,clear sky
277,Alofi,NU,-19.0595,-169.9187,76.89,88,69,8.05,broken clouds
278,Severo-Kurilsk,RU,50.6789,156.125,57.47,79,30,9.26,scattered clouds
279,Acarau,BR,-2.8856,-40.12,78.93,78,5,16.13,clear sky
280,Half Moon Bay,US,37.4636,-122.4286,69.82,84,1,1.01,clear sky
281,Severo-Yeniseyskiy,RU,60.3725,93.0408,73.76,37,20,2.39,few clouds
282,Geraldton,AU,-28.7667,114.6,61.21,48,90,21.85,overcast clouds
283,Turukhansk,RU,65.8167,87.9833,68.52,54,35,9.55,scattered clouds
284,Odienne,CI,9.51,-7.5692,69.35,98,100,3.74,overcast clouds
285,Diffa,NE,13.3154,12.6113,77.99,68,99,6.85,overcast clouds
286,Rocha,UY,-34.4833,-54.3333,49.28,93,100,10.96,overcast clouds
287,Peranamallur,IN,12.5667,79.4333,94.37,44,79,10.38,broken clouds
288,Chissamba,AO,-12.1667,17.3333,54.07,28,0,3.31,clear sky
289,Chulumani,BO,-16.4096,-67.5263,63.14,89,97,1.52,overcast clouds
290,Balabac,PH,7.9868,117.0645,86.41,69,100,13.71,overcast clouds
291,Sinnamary,GF,5.3833,-52.95,77.23,88,26,9.6,scattered clouds
292,Zaoyang,CN,32.1272,112.7542,81.52,79,100,1.88,overcast clouds
293,Yaan,NG,7.3833,8.5667,70.34,97,100,3.87,overcast clouds
294,Faanui,PF,-16.4833,-151.75,79.3,76,6,15.93,clear sky
295,Maneadero,MX,31.7167,-116.5667,69.19,85,16,1.01,few clouds
296,Egvekinot,RU,66.3167,-179.1667,52.48,51,92,1.68,overcast clouds
297,Bouca,CF,6.5105,18.2733,68.5,98,99,2.39,overcast clouds
298,Yafran,LY,32.0633,12.5286,77.31,26,0,8.9,clear sky
299,Cherskiy,RU,68.75,161.3,69.39,43,59,13.15,broken clouds
300,Kununurra,AU,-15.7667,128.7333,89.58,19,29,6.91,scattered clouds
301,Quatre Cocos,MU,-20.2078,57.7625,75.09,79,44,7.27,scattered clouds
302,Nha Trang,VN,12.25,109.1833,95.0,62,92,10.29,overcast clouds
303,Ellensburg,US,46.9965,-120.5479,74.17,50,1,21.0,clear sky
304,Kita,ML,13.0349,-9.4895,72.64,96,13,2.89,few clouds
305,Farafenni,GM,13.5667,-15.6,76.62,92,74,4.25,broken clouds
306,Pak Phanang,TH,8.3511,100.202,93.22,54,93,1.32,overcast clouds
307,Sandwick,GB,60.0,-1.25,53.42,94,75,13.8,broken clouds
308,Kushima,JP,31.4583,131.2333,89.11,55,64,7.9,broken clouds
309,Fortuna,US,40.5982,-124.1573,57.09,70,20,0.0,few clouds
310,Peniche,PT,39.3558,-9.3811,63.09,91,0,10.4,clear sky
311,San Quintin,MX,30.4833,-115.95,67.98,87,10,8.32,clear sky
312,Sur,OM,22.5667,59.5289,92.07,52,72,3.4,broken clouds
313,Ust-Maya,RU,60.4167,134.5333,83.3,23,6,8.03,clear sky
314,Hasaki,JP,35.7333,140.8333,97.09,62,7,16.71,clear sky
315,Ahipara,NZ,-35.1667,173.1667,54.28,74,26,12.1,scattered clouds
316,Roros,NO,62.5747,11.3842,39.04,100,100,1.14,fog
317,Mongomo,GQ,1.6274,11.3135,65.07,98,81,2.84,broken clouds
318,Saint-Francois,FR,46.4154,3.9054,58.17,96,0,3.44,clear sky
319,Abashiri,JP,44.0213,144.2697,57.49,94,75,11.5,shower rain
320,Chekhov,RU,55.1431,37.4711,73.35,65,42,5.19,scattered clouds
321,Poya,NC,-21.35,165.15,69.06,60,42,13.56,scattered clouds
322,Stromness,GB,58.965,-3.296,55.65,90,92,3.0,overcast clouds
323,Adelaide,AU,-34.9333,138.6,68.85,40,0,3.0,clear sky
324,Honningsvag,NO,70.9821,25.9704,54.23,81,49,7.65,scattered clouds
325,Waingapu,ID,-9.6567,120.2641,84.83,58,6,10.4,clear sky
326,Shamli,IN,29.45,77.3167,92.39,58,30,5.93,scattered clouds
327,Silute,LT,55.3489,21.4831,60.78,76,72,4.83,broken clouds
328,Torbay,CA,47.6666,-52.7314,50.58,91,1,6.91,clear sky
329,Palafrugell,ES,41.9174,3.1631,67.71,100,95,6.17,overcast clouds
330,Rimbey,CA,52.6334,-114.2353,74.32,50,98,2.35,overcast clouds
331,Naron,ES,43.5167,-8.1528,61.02,74,0,3.13,clear sky
332,Laguna,US,38.421,-121.4238,86.5,45,1,3.0,clear sky
333,Havelock,US,34.8791,-76.9013,80.94,92,1,0.0,clear sky
334,Lingen,DE,52.5167,7.3167,59.27,92,100,9.93,overcast clouds
335,Weihe,CN,32.9952,105.3247,76.6,70,100,4.05,overcast clouds
336,Tautira,PF,-17.7333,-149.15,78.82,82,51,18.57,light rain
337,Chodavaram,IN,17.8333,82.95,91.24,47,100,8.86,overcast clouds
338,Haines Junction,CA,60.7522,-137.5108,55.35,47,100,9.22,overcast clouds
339,Phuntsholing,BT,26.8516,89.3884,84.87,86,99,3.24,overcast clouds
340,Kieta,PG,-6.2167,155.6333,83.35,73,9,6.11,clear sky
341,Asau,RO,46.4333,26.4,71.76,80,5,2.04,clear sky
342,Arman,RU,59.7,150.1667,65.17,59,11,6.82,few clouds
343,Nargana,PA,9.4428,-78.5906,80.76,84,100,12.35,overcast clouds
344,Mapiripan,CO,2.8892,-72.1256,72.72,95,54,2.64,broken clouds
345,Scarborough,GB,54.2797,-0.4044,55.9,88,71,1.01,broken clouds
346,Kutum,SD,14.2,24.6667,70.03,75,72,3.02,broken clouds
347,Baykit,RU,61.67,96.37,76.26,35,14,3.06,few clouds
348,Timmins,CA,48.4669,-81.3331,66.02,94,90,9.22,light rain
349,Sitka,US,57.0531,-135.33,53.49,94,90,5.75,light rain
